Threads,Running,Not created,Synchronization,Scheduling and Fork/Join,I/O,Others
THREAD 1.1.1,90.48,0,9.4,0.09,0.03,0
THREAD 1.1.2,66.25,26.19,7.53,0,0.03,0
THREAD 1.1.3,64.26,26.19,9.52,0,0.03,0
THREAD 1.1.4,63.64,26.19,10.13,0,0.03,0
THREAD 1.1.5,68.41,26.22,5.33,0,0.03,0
THREAD 1.1.6,63.9,26.29,9.78,0,0.03,0
THREAD 1.1.7,66.89,26.27,6.81,0,0.03,0
THREAD 1.1.8,69.45,26.38,4.14,0,0.03,0
Average,69.16,22.96625,7.83,0.01125,0.03,0
