Threads,Running,Not created,Synchronization,Scheduling and Fork/Join,I/O,Others
THREAD 1.1.1,90.05,0,8.69,1.17,0.08,0
THREAD 1.1.2,67.87,23.52,8.54,0,0.06,0
THREAD 1.1.3,68.76,23.51,7.66,0,0.07,0
THREAD 1.1.4,65.39,23.54,11.01,0,0.06,0
THREAD 1.1.5,68.46,23.51,7.97,0,0.06,0
THREAD 1.1.6,70.91,23.55,5.48,0,0.06,0
THREAD 1.1.7,70.23,23.55,6.16,0,0.06,0
THREAD 1.1.8,67.46,23.53,8.95,0,0.06,0
Average,71.14125,20.58875,8.0575,0.14625,0.06375,0
